CaltechAUTHORS_ID,Related_DOIs
g2bam-7gc46,10.22002/gc871-q2a25
ehv3y-hf776,10.22002/rxsqk-8zb05
b38ev-3qs07,10.22002/3hvyj-yzq30
6fqp8-y9536,10.22002/aeffy-dcr62; 10.22002/h88fq-dk449; 10.22002/m4mpa-4mt17
15d9y-tkv02,10.22002/7aer7-qhf77
9jqh1-w6t02,10.22002/pa710-cdn95
3v9sr-9f182,10.22002/D1.1288
bwww3-z8y74,10.22002/D1.1458
5f5p8-fv321,10.22002/vspex-bd907
f4njc-jvc50,10.22002/D1.20077
dm3mv-q1b76,10.25989/es8t-kswe; 10.22002/D1.1256
ahsp6-e8a25,10.22002/D1.1295
6fx62-bf613,10.22002/D1.2027; 10.22002/D1.2026; 10.22002/D1.2025
n1n6t-pxs56,10.22002/D1.1455
zjfrp-a9k69,10.22002/D1.1444
yhm1y-wq591,10.22002/D1.1703
jvzym-1mh07,10.22002/D1.2140
45dq2-tza49,10.22002/D1.2316
r8qh8-y4065,10.22002/D1.1942
zz18s-1c181,10.22002/D1.1998; 10.22002/D1.1896
yc4sr-fb679,10.22002/D1.1613
nrbae-qk103,10.22002/D1.2173; 10.22002/D1.2024
dcas8-y4s76,10.22002/D1.1882
hsvtn-cnv15,10.22002/D1.20179
36v8f-0a053,10.22002/D1.2209
k3h8s-vjz03,10.22002/D1.1985
9x8wh-65414,10.22002/D1.2076; 10.22002/D1.2157; 10.22002/D1.1790
15qr1-8d538,10.22002/D1.1326
344g6-s0176,10.22002/D1.1632
stffv-m4465,10.22002/D1.2050
nxrw7-zx123,10.22002/D1.2150
pa1b8-a8596,10.22002/D1.1376
ezbzn-3qz02,10.22002/D1.2202
hcg0j-pk874,10.22002/D1.1348
40n3g-jae61,10.22002/D1.320; 10.22002/D1.321
h26g5-k0311,10.22002/D1.1211; 10.22002/D1.1212
n3qyx-kf341,10.22002/D1.1299
k6jp7-8js32,10.22002/d1.1317
m07dw-3jq86,10.22002/D1.1311
5624m-z4s58,10.22002/D1.1380
se7bz-k9a90,10.22002/D1.1293
t2ser-vfe73,10.22002/D1.1333
whbb7-57e98,10.22002/D1.930; 10.22002/D1.931
8scha-rhv61,10.22002/D1.933
frxqw-qyw74,10.22002/D1.305
vkzge-cnn07,10.22002/D1.8975
xny82-exg34,10.22002/D1.1154
ct2sc-f7m12,10.22002/D1.1347
2nvtm-7qe34,10.22002/d1.1304
prs7s-hfr18,10.22002/D1.1983
eswpp-amv80,10.22002/D1.1597; 10.22002/d1.1231
99bn3-pg365,10.22002/d1.1336; 10.22002/D1.1331
xvtna-xfd89,10.22002/D1.1329
2d39r-c7g81,10.22002/D1.1231
q0pn9-dgp08,10.22002/D1.2028; 10.22002/D1.222
jk4kd-j8n07,10.22002/D1.1666
zyge8-axx47,10.22002/D1.1447
8xx2v-fk653,10.22002/D1.20223
wtr1r-4ds33,10.22002/D1.1401
6famx-f0654,10.22002/D1.1371
qjzq0-71624,10.22002/D1.1377
x8ffe-pb390,10.22002/D1.1303
zwfrv-rbn84,10.22002/D1.2032
nm7th-hgm94,10.22002/D1.1996
zfjpk-xtj13,10.22002/D1.1379
ywtpy-nka66,10.22002/D1.1632
7f3r8-4ak10,10.22002/D1.1292
7p497-ttg74,10.22002/d1.1327
kp5yc-avm39,10.22002/D1.1160
c9geb-11h23,10.22002/D1.1241
zqrkn-f3w82,10.22002/D1.1178; 10.22002/D1.1179
arj9r-nfc42,10.22002/D1.1296
kz506-yqx70,10.22002/d1.1328
gjzvx-agj04,10.22002/D1.1298
ztte2-h5j24,10.22002/D1.1451
7j7m9-fec46,10.22002/csh5w-rf132
ngtts-mjd88,10.22002/D1.2009; 10.22002/D1.2010
1qwbd-2q359,10.22002/D1.2176
ynbgx-0tx98,10.22002/D1.1231
30s9e-9z096,10.22002/D1.2009; 10.22002/D1.2141; 10.22002/D1.2142
